what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078251653
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078251747
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078253157
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.stop,1370078258638
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078259045
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078259998
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078260045
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078263921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078270651
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078272289
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1370078280965
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078281495
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078283341
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370078292553
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078297643
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078301301
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370078301301
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078302362
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078302378
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370078337527
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078337527
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078342526
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078344685
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078344716
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078346338
