what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1370072675100
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1370072675100
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1370072675100
closed,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1370072675115
opened,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1370072688626
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1370072688673
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370072717939
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072720781
closed,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1370072721639
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072721654
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1370072721670
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1370072721670
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072729310
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072745958
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1370072745974
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072751315
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072754190
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1370072754206
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1370072754206
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072764062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072792408
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1370072800610
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072820370
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370072821087
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1370072905415
