what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078011161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078011364
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078014250
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078015832
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370078022156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078027715
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078031710
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078031726
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078034362
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370078034378
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078035900
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078035931
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078040432
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078063280
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078073323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078080473
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078082019
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078082410
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078083878
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078084393
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370078086273
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078092161
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078093799
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370078094814
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370078101052
