what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1370078103875
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078109887
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078113656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078113671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078115263
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370078115263
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078116982
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078116997
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370078148307
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078151683
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078152276
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1370078152276
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1370078152276
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078153617
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078156082
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078165024
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078167872
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078167887
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370078169260
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370078169276
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078171057
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078171073
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078184285
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078184285
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370078185549
