what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370075965860
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075970187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075975139
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1370075975263
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370075975263
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370075977042
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370075977057
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370075979688
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075983759
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075986931
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075986962
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370075988819
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370075988834
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370075990860
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370075990891
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370076012354
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1370076012697
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1370076018257
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370076023006
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370076056507
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370076059830
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.launchShortcut.run,1370076059845
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370076059986
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1370076060017
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370076062975
