what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370236725369
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370236726369
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370236726901
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370236728695
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1370236741154
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370236748875
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProgressView,1370236755857
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProgressView,1370236755873
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370236774766
closed,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProgressView,1370236774782
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370236788695
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370238052530
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370238053061
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370238054683
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.stop,1370238057839
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370238059743
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1370238060696
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1370238060759
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370238062778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370238066116
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1370238066163
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1370238066460
